Tamala	Hilaire	91	95	73	37	50	99	89	46	17	48	6	70	49	0	41	77	92	77	90	69
Margaret	Gust	77	97	83	51	30	26	34	45	99	48	82	39	4	37	49	42	10	46	28	79
Tangela	Shockey	52	19	49	5	43	8	86	42	24	92	75	49	85	6	34	60	40	31	97	67
Tequila	Rieder	87	50	37	26	30	51	36	45	2	28	31	63	52	62	45	31	27	78	32	12
Tai	Buckler	53	28	3	51	18	13	88	17	1	31	44	33	61	50	47	55	63	92	84	91
Hoyt	Robillard	66	41	70	8	36	1	41	47	1	50	72	73	37	32	18	31	61	98	16	36
Domenica	Chesney	44	35	34	88	38	92	63	15	16	8	79	86	14	36	90	95	31	21	97	90
Suzi	Mccandless	40	65	11	60	6	31	31	86	21	6	28	24	95	48	26	10	36	2	54	86
Rutha	Havener	9	0	12	27	1	10	34	37	8	82	5	58	25	96	41	94	45	5	61	14
Joaquina	Lynn	44	47	26	51	11	79	48	53	46	83	78	50	27	12	11	85	90	97	72	53
Janel	Masi	69	89	88	2	35	28	56	6	86	87	5	11	65	69	46	74	22	6	35	94
Barney	Perrotti	47	72	5	10	48	99	50	61	90	4	95	34	24	87	11	82	2	47	35	67
Shana	Hodo	83	49	10	43	82	94	34	9	69	70	61	7	13	3	1	34	48	24	12	93
Madge	Eadie	40	32	89	11	45	31	87	85	42	42	60	31	45	66	32	80	77	83	42	56
Wiley	Padilla	28	27	62	46	1	71	56	65	74	7	18	65	78	69	21	32	62	91	83	15
Agnes	Dubon	28	46	17	78	78	32	39	40	12	38	95	43	35	89	10	85	17	6	80	20
Evalyn	Motto	92	41	18	64	73	87	79	41	84	91	79	38	75	65	16	50	18	90	24	63
Lavone	Buckelew	39	53	89	20	63	43	22	25	10	35	12	92	96	62	76	27	98	19	66	37
Annice	Demont	60	40	73	74	92	27	52	28	33	82	77	9	68	84	24	73	60	84	88	98
Thad	Hardee	98	60	21	82	80	5	31	12	34	9	1	59	94	95	28	89	24	43	18	91
Mireille	Verrier	40	70	56	49	33	68	31	63	4	25	68	60	82	1	8	16	30	75	69	72
Madalyn	Vanantwerp	86	75	40	99	55	96	41	8	38	15	93	14	50	2	45	88	35	38	52	42
Margurite	Ornelas	80	80	51	79	84	27	55	81	62	76	64	36	69	25	12	90	4	72	75	44
Vasiliki	Dufresne	74	57	2	23	57	85	73	94	21	68	73	51	24	23	43	20	6	61	73	43
Bart	Arispe	91	55	61	85	56	30	36	28	60	39	57	89	54	97	57	56	16	37	36	34
Kyong	Minder	46	62	56	82	17	80	88	71	61	75	74	7	76	18	36	80	91	25	35	66
Thomasine	Kulesza	20	86	63	60	11	49	53	6	14	25	17	68	54	84	34	27	77	45	18	76
Telma	Burrus	68	94	18	32	31	63	66	21	16	41	71	22	78	22	34	56	46	45	79	84
Hung	Knobel	1	56	99	24	63	16	71	23	31	74	43	87	63	75	83	17	61	81	10	28
Lyman	Lade	89	49	28	81	29	40	84	60	79	12	53	85	90	33	64	33	95	98	63	45
Kiana	Goetzinger	52	86	54	63	4	87	80	68	8	93	27	3	65	71	97	44	22	46	10	81
Brigida	Litt	71	97	76	56	87	70	11	66	4	23	49	90	67	52	23	83	13	69	30	25
Deadra	Dohm	26	38	1	5	15	58	90	59	12	38	32	69	95	46	2	18	51	13	45	64
Casandra	Landman	25	67	61	14	47	27	37	37	55	2	37	7	72	62	17	90	40	43	62	40
Meggan	Romberger	35	25	61	35	89	92	81	69	54	48	3	34	53	29	48	80	31	66	91	19
Pearlene	Aaronson	38	70	31	0	9	13	69	76	21	40	26	35	49	82	25	1	30	48	68	0
Karie	Kuehl	76	21	4	91	68	36	65	75	14	88	17	67	20	0	51	16	9	2	27	35
Fanny	Cedillo	7	36	82	69	32	34	64	36	74	36	54	7	8	82	56	2	50	77	59	44
Kindra	Flurry	11	10	31	6	44	9	55	75	67	27	6	43	68	35	45	93	83	26	66	37
Markita	Bowser	39	43	71	48	15	58	5	68	77	47	72	81	67	96	41	0	5	6	47	32
Cinda	Laughlin	44	92	24	50	99	65	98	15	94	54	68	50	20	33	32	15	24	93	48	57
Alyce	Dales	71	64	19	97	77	5	15	88	15	58	19	79	52	77	96	44	66	65	25	71
Jacklyn	Misner	6	35	92	36	79	32	22	36	92	17	87	6	4	78	43	46	85	32	9	13
Alva	Calkins	53	40	17	0	49	77	92	9	19	67	91	57	24	68	27	75	26	38	13	67
Carl	Hughley	53	34	20	74	88	26	84	92	73	86	18	67	99	66	48	28	77	99	69	16
Gwen	Vannatta	18	97	26	3	9	86	87	45	53	46	58	93	88	43	54	47	90	63	11	96
Refugia	Nourse	20	22	18	54	27	47	65	98	49	28	65	62	35	97	57	24	50	37	42	68
Carole	Pisani	60	96	63	13	78	27	15	25	36	62	75	88	81	7	96	2	51	70	20	20
Dionne	Mumm	95	86	45	49	97	69	54	86	29	92	41	3	77	42	17	19	60	29	62	93
Gala	Schreck	28	33	75	33	30	91	68	25	14	90	69	25	52	63	95	13	45	56	67	10
Tomika	Dahlen	82	67	55	86	69	28	91	90	10	77	31	38	92	93	82	1	97	46	24	43
Shena	Manigault	51	1	94	10	58	94	89	62	49	42	37	0	49	63	62	15	35	83	34	94
Deanna	Sergi	1	56	96	13	90	38	37	84	42	40	25	96	32	21	63	57	79	57	27	54
Cyrstal	Silberman	47	54	74	3	92	30	90	87	42	19	72	98	83	20	3	51	49	26	92	27
Melissa	Vandoren	63	36	78	34	48	17	0	44	65	57	37	40	28	83	62	90	75	97	48	82
Emerita	Chafin	18	46	79	45	38	9	72	12	56	51	47	11	50	63	30	77	49	82	71	86
Jenise	Troncoso	1	18	3	54	64	3	57	17	24	78	48	80	31	89	1	3	89	45	49	33
Krystina	Mcginness	41	57	34	84	74	18	99	64	81	93	42	87	1	35	58	75	45	44	1	95
Lacey	Amar	39	90	41	47	1	40	93	37	44	61	23	56	74	98	48	55	65	42	88	88
Elsie	Haygood	15	73	5	89	47	72	49	27	64	13	31	6	78	67	96	99	50	48	62	52
Luciano	Mousseau	88	73	90	3	60	28	50	27	97	75	3	15	11	72	4	85	82	9	63	0
Jadwiga	Condie	65	60	13	36	28	40	88	35	94	86	21	21	67	7	7	32	70	11	16	93
Johna	Kirsh	24	44	86	27	76	79	26	2	22	27	0	48	71	23	52	80	57	53	41	44
Alice	Sipp	95	9	77	80	76	17	79	91	16	50	80	62	14	99	12	52	99	35	28	89
Marvis	Trombley	8	90	57	0	79	46	66	73	52	56	99	99	48	79	41	78	62	39	41	30
Bertram	Gramlich	9	50	49	97	96	61	70	15	25	78	7	12	92	21	83	2	88	75	81	47
Philomena	Skipper	25	76	48	40	2	53	51	84	89	87	13	39	63	36	6	73	37	4	82	80
Angella	Waag	22	97	44	2	12	96	11	85	90	83	41	2	50	54	37	18	22	30	53	55
Roxann	Figg	67	41	74	22	12	72	24	1	75	35	45	8	55	1	86	27	22	73	27	54
Yung	Dufner	86	44	55	94	37	37	4	27	33	32	88	10	52	91	54	3	33	98	50	71
Sanda	Cortes	41	96	91	0	58	35	3	90	25	59	87	30	15	16	1	42	62	54	5	38
Lucius	Shufelt	38	74	11	67	73	25	30	19	23	59	77	3	41	45	96	21	73	69	3	85
Araceli	Feltner	4	95	12	15	20	13	40	80	29	37	76	61	74	90	24	30	50	76	23	15
Etsuko	Tharp	28	77	72	10	71	40	96	7	94	57	38	75	94	28	14	23	84	90	83	63
